ProductDescription,SpotPrice,Timestamp
Linux/UNIX,0.0671,2020-05-05T22:48:39.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-05T22:48:39.000Z
"SUSE Linux",0.2171,2020-05-05T22:48:39.000Z
Linux/UNIX,0.0671,2020-05-06T22:49:33.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-06T22:49:33.000Z
"SUSE Linux",0.2171,2020-05-06T22:49:33.000Z
Linux/UNIX,0.0671,2020-05-07T22:50:05.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-07T22:50:05.000Z
"SUSE Linux",0.2171,2020-05-07T22:50:05.000Z
Linux/UNIX,0.0671,2020-05-08T22:50:48.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-08T22:50:48.000Z
"SUSE Linux",0.2171,2020-05-08T22:50:48.000Z
Linux/UNIX,0.0671,2020-05-09T10:11:24.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-09T10:11:24.000Z
"SUSE Linux",0.2171,2020-05-09T10:11:24.000Z
Linux/UNIX,0.0671,2020-05-10T10:12:22.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-10T10:12:22.000Z
"SUSE Linux",0.2171,2020-05-10T10:12:22.000Z
Linux/UNIX,0.0671,2020-05-11T05:11:25.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-11T05:11:25.000Z
"SUSE Linux",0.2171,2020-05-11T05:11:25.000Z
Linux/UNIX,0.0671,2020-05-12T05:11:34.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-12T05:11:34.000Z
"SUSE Linux",0.2171,2020-05-12T05:11:34.000Z
Linux/UNIX,0.0671,2020-05-13T05:12:26.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-13T05:12:26.000Z
"SUSE Linux",0.2171,2020-05-13T05:12:26.000Z
Linux/UNIX,0.0671,2020-05-14T05:13:23.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-14T05:13:23.000Z
"SUSE Linux",0.2171,2020-05-14T05:13:23.000Z
Linux/UNIX,0.0671,2020-05-15T05:13:27.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-15T05:13:27.000Z
"SUSE Linux",0.2171,2020-05-15T05:13:27.000Z
Linux/UNIX,0.0671,2020-05-16T05:13:37.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-16T05:13:37.000Z
"SUSE Linux",0.2171,2020-05-16T05:13:37.000Z
Linux/UNIX,0.0671,2020-05-17T05:14:29.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-17T05:14:29.000Z
"SUSE Linux",0.2171,2020-05-17T05:14:29.000Z
Linux/UNIX,0.0671,2020-05-18T05:15:25.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-18T05:15:25.000Z
"SUSE Linux",0.2171,2020-05-18T05:15:25.000Z
Linux/UNIX,0.0671,2020-05-19T05:16:16.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-19T05:16:16.000Z
"SUSE Linux",0.2171,2020-05-19T05:16:16.000Z
Linux/UNIX,0.0671,2020-05-20T05:17:14.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-20T05:17:14.000Z
"SUSE Linux",0.2171,2020-05-20T05:17:14.000Z
Linux/UNIX,0.0671,2020-05-21T05:17:17.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-21T05:17:17.000Z
"SUSE Linux",0.2171,2020-05-21T05:17:17.000Z
Linux/UNIX,0.0671,2020-05-22T05:18:10.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-22T05:18:10.000Z
"SUSE Linux",0.2171,2020-05-22T05:18:10.000Z
Linux/UNIX,0.0671,2020-05-23T05:18:17.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-23T05:18:17.000Z
"SUSE Linux",0.2171,2020-05-23T05:18:17.000Z
Linux/UNIX,0.0671,2020-05-24T05:18:30.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-24T05:18:30.000Z
"SUSE Linux",0.2171,2020-05-24T05:18:30.000Z
Linux/UNIX,0.0671,2020-05-25T05:19:30.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-25T05:19:30.000Z
"SUSE Linux",0.2171,2020-05-25T05:19:30.000Z
Linux/UNIX,0.0671,2020-05-26T05:20:08.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-26T05:20:08.000Z
"SUSE Linux",0.2171,2020-05-26T05:20:08.000Z
Linux/UNIX,0.0671,2020-05-27T05:20:16.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-27T05:20:16.000Z
"SUSE Linux",0.2171,2020-05-27T05:20:16.000Z
Linux/UNIX,0.0671,2020-05-28T05:20:17.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-28T05:20:17.000Z
"SUSE Linux",0.2171,2020-05-28T05:20:17.000Z
Linux/UNIX,0.0671,2020-05-29T05:20:40.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-29T05:20:40.000Z
"SUSE Linux",0.2171,2020-05-29T05:20:40.000Z
Linux/UNIX,0.0671,2020-05-30T05:21:35.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-30T05:21:35.000Z
"SUSE Linux",0.2171,2020-05-30T05:21:35.000Z
Linux/UNIX,0.0671,2020-05-31T05:22:28.000Z
"Red Hat Enterprise Linux",0.1971,2020-05-31T05:22:28.000Z
"SUSE Linux",0.2171,2020-05-31T05:22:28.000Z
Linux/UNIX,0.0671,2020-06-01T05:22:38.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-01T05:22:38.000Z
"SUSE Linux",0.2171,2020-06-01T05:22:38.000Z
Linux/UNIX,0.0671,2020-06-02T05:23:04.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-02T05:23:04.000Z
"SUSE Linux",0.2171,2020-06-02T05:23:04.000Z
Linux/UNIX,0.0671,2020-06-03T05:23:48.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-03T05:23:48.000Z
"SUSE Linux",0.2171,2020-06-03T05:23:48.000Z
Linux/UNIX,0.0671,2020-06-04T05:24:13.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-04T05:24:13.000Z
"SUSE Linux",0.2171,2020-06-04T05:24:13.000Z
Linux/UNIX,0.0671,2020-06-05T05:24:36.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-05T05:24:36.000Z
"SUSE Linux",0.2171,2020-06-05T05:24:36.000Z
Linux/UNIX,0.0671,2020-06-06T05:25:17.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-06T05:25:17.000Z
"SUSE Linux",0.2171,2020-06-06T05:25:17.000Z
Linux/UNIX,0.0671,2020-06-07T05:26:17.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-07T05:26:17.000Z
"SUSE Linux",0.2171,2020-06-07T05:26:17.000Z
Linux/UNIX,0.0671,2020-06-08T05:26:31.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-08T05:26:31.000Z
"SUSE Linux",0.2171,2020-06-08T05:26:31.000Z
Linux/UNIX,0.0671,2020-06-08T18:16:36.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-08T18:16:36.000Z
"SUSE Linux",0.2171,2020-06-08T18:16:36.000Z
Linux/UNIX,0.0671,2020-06-09T18:16:47.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-09T18:16:47.000Z
"SUSE Linux",0.2171,2020-06-09T18:16:47.000Z
Linux/UNIX,0.0671,2020-06-10T18:17:47.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-10T18:17:47.000Z
"SUSE Linux",0.2171,2020-06-10T18:17:47.000Z
Linux/UNIX,0.0671,2020-06-11T17:05:51.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-11T17:05:51.000Z
"SUSE Linux",0.2171,2020-06-11T17:05:51.000Z
Linux/UNIX,0.0671,2020-06-12T17:05:58.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-12T17:05:58.000Z
"SUSE Linux",0.2171,2020-06-12T17:05:58.000Z
Linux/UNIX,0.0671,2020-06-13T17:06:02.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-13T17:06:02.000Z
"SUSE Linux",0.2171,2020-06-13T17:06:02.000Z
Linux/UNIX,0.0671,2020-06-14T17:06:33.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-14T17:06:33.000Z
"SUSE Linux",0.2171,2020-06-14T17:06:33.000Z
Linux/UNIX,0.0671,2020-06-15T17:07:15.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-15T17:07:15.000Z
"SUSE Linux",0.2171,2020-06-15T17:07:15.000Z
Linux/UNIX,0.0671,2020-06-16T17:07:18.000Z
"Red Hat Enterprise Linux",0.1971,2020-06-16T17:07:18.000Z
